ID,Job Title,Skill
35,Ml Engineer,"Cloud, Computer Vision, Python"
36,Data Scientist,"Pandas, Machine Learning, Python, Sql, Nlp"
37,Data Scientist,"Sql, Pandas, Deep Learning, Nlp"
38,Software Engineer,"System Design, Spring Boot, Agile, Rest Apis"
39,Product Manager,"Stakeholder Management, Scrum, Product Roadmap"
40,Software Engineer,"System Design, Rest Apis, Java, Git"
41,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories, Product Roadmap"
42,Data Scientist,"Pandas, Deep Learning, Nlp, Sql, Machine Learning, Statistics"
43,Data Analyst,"Sql, Power Bi, Tableau"
44,Data Scientist,"Python, Statistics, Machine Learning, Pandas, Sql, Nlp"
45,Software Engineer,"Spring Boot, Rest Apis, Agile, Java"
46,Data Analyst,"Power Bi, Tableau, Excel, Reporting"
47,Ml Engineer,"Mlops, Pytorch, Cloud, Python, Tensorflow, Computer Vision"
48,Ml Engineer,"Cloud, Mlops, Python, Computer Vision, Pytorch, Keras, Tensorflow"
49,Data Scientist,"Sql, Machine Learning, Pandas"
50,Data Scientist,"Machine Learning, Statistics, Python, Sql"
51,Software Engineer,"Spring Boot, Java, Agile"
52,Product Manager,"Scrum, Stakeholder Management, User Stories, Agile, Product Roadmap"
53,Product Manager,"Stakeholder Management, Scrum, User Stories, Product Roadmap"
54,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management, Scrum"
55,Data Scientist,"Python, Nlp, Deep Learning"
56,Data Analyst,"Power Bi, Excel, Data Cleaning"
57,Data Scientist,"Deep Learning, Python, Pandas"
58,Data Scientist,"Sql, Python, Deep Learning, Machine Learning"
59,Software Engineer,"Docker, Spring Boot, Java, Git"
60,Ml Engineer,"Keras, Computer Vision, Tensorflow, Pytorch, Python, Cloud"
61,Data Analyst,"Power Bi, Reporting, Data Cleaning, Tableau"
62,Software Engineer,"Agile, Java, Docker"
63,Data Scientist,"Pandas, Statistics, Python, Nlp, Sql, Machine Learning"
64,Ml Engineer,"Computer Vision, Mlops, Python, Tensorflow, Keras, Cloud"
65,Ml Engineer,"Python, Keras, Pytorch"
66,Data Analyst,"Sql, Tableau, Data Cleaning"
67,Data Scientist,"Pandas, Machine Learning, Deep Learning, Statistics, Sql, Nlp"
68,Software Engineer,"System Design, Spring Boot, Rest Apis, Docker, Agile, Git, Java"
69,Data Scientist,"Machine Learning, Sql, Nlp, Statistics"
70,Software Engineer,"Spring Boot, System Design, Java, Agile"
71,Software Engineer,"Agile, Docker, Git"
72,Product Manager,"Product Roadmap, User Stories, Scrum, Stakeholder Management, Agile"
73,Ml Engineer,"Cloud, Python, Tensorflow, Computer Vision, Pytorch, Keras, Mlops"
74,Product Manager,"Agile, User Stories, Scrum, Product Roadmap"
75,Data Analyst,"Data Cleaning, Tableau, Power Bi, Reporting, Excel, Sql"
76,Ml Engineer,"Tensorflow, Keras, Mlops, Python, Cloud"
77,Data Analyst,"Sql, Reporting, Excel, Tableau"
78,Product Manager,"Agile, Product Roadmap, Stakeholder Management"
79,Data Analyst,"Power Bi, Reporting, Sql, Excel, Tableau, Data Cleaning"
80,Software Engineer,"Git, System Design, Agile, Docker"
81,Ml Engineer,"Tensorflow, Computer Vision, Python, Keras, Cloud, Pytorch"
82,Product Manager,"Stakeholder Management, Scrum, Agile"
83,Product Manager,"User Stories, Agile, Scrum"
84,Software Engineer,"Agile, Git, Rest Apis"
85,Data Scientist,"Nlp, Statistics, Sql, Python, Machine Learning"
86,Data Scientist,"Statistics, Nlp, Sql, Python, Pandas, Deep Learning"
87,Data Analyst,"Excel, Sql, Power Bi, Tableau, Data Cleaning"
88,Ml Engineer,"Tensorflow, Cloud, Keras, Computer Vision, Pytorch, Python"
89,Data Analyst,"Sql, Tableau, Power Bi"
90,Software Engineer,"Docker, System Design, Rest Apis, Git, Agile, Spring Boot, Java"
91,Software Engineer,"Spring Boot, Java, Agile, Rest Apis"
92,Data Scientist,"Sql, Statistics, Python, Deep Learning, Pandas, Nlp, Machine Learning"
93,Product Manager,"User Stories, Agile, Product Roadmap"
94,Data Analyst,"Power Bi, Data Cleaning, Excel, Reporting, Sql, Tableau"
95,Data Scientist,"Statistics, Python, Pandas, Sql"
96,Software Engineer,"System Design, Java, Agile, Spring Boot, Docker"
97,Data Scientist,"Pandas, Sql, Machine Learning, Nlp"
98,Data Scientist,"Deep Learning, Statistics, Python, Sql"
99,Data Scientist,"Sql, Machine Learning, Deep Learning, Python, Pandas, Statistics"
100,Ml Engineer,"Computer Vision, Mlops, Python, Cloud, Tensorflow, Pytorch, Keras"
101,Software Engineer,"System Design, Docker, Spring Boot, Git, Java, Rest Apis, Agile"
102,Software Engineer,"Java, Rest Apis, Spring Boot, Agile, Docker"
103,Ml Engineer,"Python, Tensorflow, Cloud"
104,Ml Engineer,"Mlops, Computer Vision, Tensorflow, Cloud"
105,Ml Engineer,"Cloud, Keras, Pytorch, Python"
106,Software Engineer,"Java, Rest Apis, Spring Boot, Git, System Design"
107,Ml Engineer,"Cloud, Pytorch, Python"
108,Data Analyst,"Data Cleaning, Reporting, Tableau, Sql, Excel"
109,Ml Engineer,"Cloud, Tensorflow, Keras, Mlops, Python"
110,Ml Engineer,"Pytorch, Keras, Cloud, Tensorflow"
111,Software Engineer,"Java, Agile, Rest Apis, System Design, Git, Docker"
112,Ml Engineer,"Python, Cloud, Pytorch, Computer Vision"
113,Data Scientist,"Machine Learning, Statistics, Nlp, Deep Learning, Python, Sql"
114,Ml Engineer,"Python, Keras, Pytorch, Mlops, Tensorflow, Computer Vision, Cloud"
115,Software Engineer,"System Design, Agile, Spring Boot, Docker"
116,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
117,Data Scientist,"Deep Learning, Machine Learning, Statistics"
118,Software Engineer,"Docker, System Design, Agile"
119,Ml Engineer,"Pytorch, Cloud, Keras, Computer Vision"
120,Product Manager,"User Stories, Scrum, Agile, Product Roadmap"
121,Data Analyst,"Sql, Reporting, Tableau, Data Cleaning"
122,Software Engineer,"Docker, System Design, Java, Spring Boot, Agile"
123,Data Analyst,"Sql, Power Bi, Excel, Tableau, Reporting, Data Cleaning"
124,Data Scientist,"Deep Learning, Sql, Pandas, Statistics"
125,Data Analyst,"Sql, Reporting, Excel, Power Bi, Tableau, Data Cleaning"
126,Ml Engineer,"Mlops, Pytorch, Python, Keras, Tensorflow, Cloud"
127,Ml Engineer,"Mlops, Cloud, Keras, Python"
128,Ml Engineer,"Mlops, Pytorch, Cloud, Computer Vision, Keras, Python, Tensorflow"
129,Data Scientist,"Machine Learning, Pandas, Deep Learning, Python"
130,Ml Engineer,"Pytorch, Computer Vision, Tensorflow, Mlops, Cloud"
131,Data Analyst,"Tableau, Reporting, Power Bi, Sql, Data Cleaning, Excel"
132,Product Manager,"Product Roadmap, User Stories, Scrum"
133,Data Analyst,"Sql, Reporting, Power Bi, Data Cleaning"
134,Data Scientist,"Pandas, Statistics, Nlp, Python, Machine Learning, Sql"
135,Data Analyst,"Data Cleaning, Power Bi, Sql, Tableau, Excel"
136,Software Engineer,"Java, Git, System Design, Spring Boot, Docker, Agile"
137,Product Manager,"Product Roadmap, Agile, Scrum, User Stories"
138,Product Manager,"Scrum, Product Roadmap, User Stories, Stakeholder Management"
139,Data Scientist,"Sql, Nlp, Pandas"
140,Product Manager,"Agile, Stakeholder Management, Product Roadmap, Scrum, User Stories"
141,Ml Engineer,"Tensorflow, Mlops, Python, Computer Vision"
142,Data Analyst,"Tableau, Power Bi, Excel, Sql, Reporting, Data Cleaning"
143,Product Manager,"User Stories, Stakeholder Management, Scrum"
144,Data Analyst,"Data Cleaning, Reporting, Power Bi, Excel, Tableau"
145,Data Scientist,"Nlp, Deep Learning, Machine Learning, Sql"
146,Ml Engineer,"Cloud, Computer Vision, Tensorflow"
147,Data Analyst,"Power Bi, Data Cleaning, Excel, Tableau"
148,Data Scientist,"Python, Nlp, Deep Learning, Sql"
149,Data Analyst,"Excel, Sql, Reporting, Power Bi, Tableau"
150,Software Engineer,"Agile, Docker, System Design, Spring Boot"
151,Data Analyst,"Tableau, Sql, Data Cleaning, Excel, Reporting, Power Bi"
152,Data Scientist,"Machine Learning, Statistics, Python, Pandas"
153,Data Scientist,"Deep Learning, Python, Machine Learning, Sql, Statistics, Nlp, Pandas"
154,Ml Engineer,"Pytorch, Mlops, Computer Vision"
155,Data Scientist,"Statistics, Machine Learning, Nlp"
156,Data Analyst,"Reporting, Excel, Power Bi"
157,Data Scientist,"Sql, Deep Learning, Pandas, Python, Nlp"
158,Ml Engineer,"Keras, Computer Vision, Pytorch, Mlops, Python, Tensorflow, Cloud"
159,Data Scientist,"Sql, Statistics, Python, Nlp, Machine Learning, Deep Learning"
160,Software Engineer,"Agile, Rest Apis, Git, Spring Boot, Java, System Design"
161,Product Manager,"Product Roadmap, Agile, Stakeholder Management"
162,Data Scientist,"Statistics, Deep Learning, Python, Sql, Nlp, Pandas, Machine Learning"
163,Product Manager,"Agile, Scrum, Stakeholder Management"
164,Data Analyst,"Reporting, Power Bi, Sql"
165,Data Scientist,"Pandas, Machine Learning, Sql"
166,Ml Engineer,"Mlops, Tensorflow, Pytorch, Computer Vision, Keras"
167,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management"
168,Ml Engineer,"Computer Vision, Pytorch, Mlops, Cloud, Keras"
169,Software Engineer,"Git, Spring Boot, System Design, Docker"
170,Data Analyst,"Data Cleaning, Tableau, Reporting, Excel, Power Bi"
171,Product Manager,"Scrum, Stakeholder Management, Agile"
172,Ml Engineer,"Cloud, Keras, Mlops, Python, Tensorflow"
173,Data Analyst,"Data Cleaning, Excel, Tableau, Power Bi"
174,Ml Engineer,"Python, Tensorflow, Computer Vision, Cloud, Pytorch, Keras, Mlops"
175,Product Manager,"Agile, Product Roadmap, User Stories"
176,Data Scientist,"Machine Learning, Sql, Statistics, Python, Nlp, Deep Learning, Pandas"
177,Data Scientist,"Statistics, Pandas, Sql"
178,Software Engineer,"Rest Apis, System Design, Agile, Git"
179,Software Engineer,"Java, Git, Docker, Agile, Rest Apis, System Design"
180,Data Scientist,"Machine Learning, Pandas, Nlp, Deep Learning, Sql"
181,Data Analyst,"Power Bi, Reporting, Excel, Tableau"
182,Product Manager,"Scrum, Stakeholder Management, User Stories"
183,Data Analyst,"Sql, Power Bi, Data Cleaning, Excel, Tableau, Reporting"
184,Product Manager,"User Stories, Product Roadmap, Agile"
185,Software Engineer,"Java, Spring Boot, Git"
186,Software Engineer,"System Design, Spring Boot, Agile, Git, Rest Apis, Java, Docker"
187,Software Engineer,"Agile, Java, Git"
188,Data Analyst,"Excel, Power Bi, Sql"
189,Product Manager,"User Stories, Scrum, Product Roadmap"
190,Data Analyst,"Excel, Sql, Reporting"
191,Data Scientist,"Nlp, Machine Learning, Sql, Deep Learning"
192,Software Engineer,"Docker, System Design, Spring Boot, Java, Agile"
193,Data Analyst,"Power Bi, Tableau, Excel"
194,Data Analyst,"Power Bi, Sql, Reporting"
195,Data Analyst,"Excel, Power Bi, Reporting, Tableau"
196,Data Analyst,"Reporting, Power Bi, Tableau, Excel, Sql, Data Cleaning"
197,Product Manager,"Stakeholder Management, Product Roadmap, User Stories, Scrum, Agile"
198,Data Analyst,"Power Bi, Excel, Data Cleaning, Reporting, Tableau"
199,Software Engineer,"System Design, Java, Docker, Rest Apis, Spring Boot"
200,Data Analyst,"Sql, Data Cleaning, Reporting, Tableau, Power Bi"
201,Ml Engineer,"Keras, Pytorch, Mlops"
202,Product Manager,"Stakeholder Management, Product Roadmap, Agile, User Stories, Scrum"
203,Data Scientist,"Machine Learning, Statistics, Pandas, Sql, Nlp, Python, Deep Learning"
204,Data Scientist,"Statistics, Deep Learning, Sql, Pandas, Nlp, Machine Learning"
205,Data Analyst,"Excel, Tableau, Data Cleaning"
206,Data Scientist,"Statistics, Pandas, Sql, Python, Machine Learning, Nlp, Deep Learning"
207,Product Manager,"Agile, Stakeholder Management, Scrum"
208,Ml Engineer,"Mlops, Python, Tensorflow"
209,Ml Engineer,"Mlops, Computer Vision, Keras, Tensorflow"
210,Product Manager,"Product Roadmap, User Stories, Agile, Scrum"
211,Software Engineer,"Spring Boot, System Design, Agile, Java, Docker"
212,Data Scientist,"Nlp, Machine Learning, Sql, Python, Statistics, Deep Learning"
213,Software Engineer,"Agile, Java, System Design, Git, Spring Boot"
214,Data Scientist,"Deep Learning, Python, Machine Learning, Nlp"
215,Software Engineer,"Agile, Docker, System Design, Java, Spring Boot, Rest Apis"
216,Data Scientist,"Python, Statistics, Nlp, Deep Learning, Sql"
217,Data Analyst,"Power Bi, Sql, Reporting, Excel, Tableau, Data Cleaning"
218,Software Engineer,"Spring Boot, Rest Apis, Docker, Java, Agile"
219,Product Manager,"User Stories, Scrum, Stakeholder Management"
220,Software Engineer,"Agile, Rest Apis, Git, Docker"
221,Data Scientist,"Nlp, Pandas, Sql, Deep Learning"
222,Ml Engineer,"Python, Keras, Tensorflow, Computer Vision"
223,Software Engineer,"Git, Rest Apis, Java, Docker, Agile"
224,Data Scientist,"Pandas, Nlp, Python"
225,Data Scientist,"Sql, Nlp, Pandas, Python, Deep Learning, Statistics, Machine Learning"
226,Ml Engineer,"Keras, Tensorflow, Cloud"
227,Ml Engineer,"Keras, Pytorch, Tensorflow"
228,Data Scientist,"Statistics, Nlp, Deep Learning, Python, Machine Learning, Pandas, Sql"
229,Data Scientist,"Nlp, Sql, Statistics"
230,Ml Engineer,"Tensorflow, Mlops, Pytorch, Keras, Cloud, Computer Vision, Python"
231,Data Analyst,"Tableau, Sql, Excel, Data Cleaning"
232,Ml Engineer,"Computer Vision, Tensorflow, Python, Cloud, Mlops, Keras, Pytorch"
233,Ml Engineer,"Pytorch, Keras, Cloud, Computer Vision, Python, Tensorflow"
234,Software Engineer,"Rest Apis, Docker, Git, Spring Boot, System Design, Agile, Java"
235,Ml Engineer,"Tensorflow, Keras, Python, Mlops"
236,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management"
237,Ml Engineer,"Tensorflow, Cloud, Computer Vision, Pytorch, Python, Mlops, Keras"
238,Product Manager,"Scrum, Stakeholder Management, Product Roadmap, Agile, User Stories"
239,Software Engineer,"Agile, System Design, Spring Boot, Git, Rest Apis"
240,Product Manager,"Product Roadmap, Scrum, Agile"
241,Ml Engineer,"Tensorflow, Keras, Python, Mlops, Pytorch, Computer Vision, Cloud"
242,Software Engineer,"Spring Boot, Agile, System Design, Docker, Rest Apis"
243,Product Manager,"Agile, Stakeholder Management, Product Roadmap"
244,Data Analyst,"Tableau, Power Bi, Excel, Reporting"
245,Product Manager,"Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
246,Data Scientist,"Python, Deep Learning, Statistics, Sql"
247,Data Analyst,"Excel, Data Cleaning, Tableau, Reporting, Sql"
248,Software Engineer,"Agile, Spring Boot, Git, Java"
249,Data Analyst,"Excel, Sql, Reporting, Tableau, Data Cleaning"
250,Product Manager,"Stakeholder Management, Product Roadmap, Scrum, Agile, User Stories"
251,Ml Engineer,"Tensorflow, Computer Vision, Mlops, Python, Keras, Cloud"
252,Data Analyst,"Data Cleaning, Power Bi, Reporting, Excel, Tableau, Sql"
253,Data Analyst,"Data Cleaning, Excel, Tableau, Reporting"
254,Data Scientist,"Statistics, Deep Learning, Python, Pandas"
255,Data Scientist,"Deep Learning, Python, Sql, Nlp, Machine Learning, Pandas, Statistics"
256,Data Scientist,"Sql, Python, Deep Learning, Machine Learning, Statistics, Nlp, Pandas"
257,Data Scientist,"Machine Learning, Pandas, Deep Learning"
258,Data Analyst,"Reporting, Power Bi, Data Cleaning, Sql"
259,Software Engineer,"Agile, Java, Spring Boot, Docker, Git"
260,Data Analyst,"Data Cleaning, Excel, Reporting, Sql, Tableau"
261,Product Manager,"User Stories, Scrum, Stakeholder Management, Product Roadmap, Agile"
262,Product Manager,"Stakeholder Management, Agile, User Stories, Scrum, Product Roadmap"
263,Product Manager,"Agile, Scrum, Stakeholder Management, Product Roadmap, User Stories"
264,Data Scientist,"Statistics, Deep Learning, Nlp, Machine Learning"
265,Ml Engineer,"Cloud, Computer Vision, Mlops, Keras, Python"
266,Software Engineer,"Java, System Design, Agile, Spring Boot, Git, Docker"
267,Ml Engineer,"Python, Cloud, Mlops, Computer Vision"
268,Ml Engineer,"Mlops, Pytorch, Computer Vision, Tensorflow"
269,Software Engineer,"Java, Rest Apis, Agile"
270,Ml Engineer,"Pytorch, Tensorflow, Mlops, Computer Vision, Keras, Python"
271,Data Scientist,"Statistics, Sql, Nlp, Python, Machine Learning, Deep Learning, Pandas"
272,Data Analyst,"Data Cleaning, Sql, Power Bi"
273,Ml Engineer,"Computer Vision, Mlops, Cloud, Tensorflow"
274,Data Analyst,"Power Bi, Sql, Data Cleaning"
275,Ml Engineer,"Mlops, Python, Tensorflow, Computer Vision, Pytorch, Cloud, Keras"
276,Software Engineer,"Java, Spring Boot, Git, Rest Apis, Agile, Docker"
277,Product Manager,"Scrum, Agile, Stakeholder Management, User Stories"
278,Product Manager,"Scrum, Agile, Stakeholder Management"
279,Data Analyst,"Power Bi, Reporting, Excel, Sql, Data Cleaning, Tableau"
280,Data Scientist,"Python, Sql, Nlp, Deep Learning"
281,Data Scientist,"Machine Learning, Deep Learning, Nlp, Pandas, Python"
282,Ml Engineer,"Tensorflow, Python, Mlops, Keras"
283,Ml Engineer,"Mlops, Tensorflow, Cloud"
284,Ml Engineer,"Keras, Python, Pytorch, Tensorflow"
285,Product Manager,"Scrum, Stakeholder Management, Agile, User Stories, Product Roadmap"
286,Data Scientist,"Machine Learning, Deep Learning, Python, Nlp"
287,Product Manager,"Stakeholder Management, User Stories, Scrum, Agile, Product Roadmap"
288,Data Analyst,"Power Bi, Tableau, Sql, Excel, Reporting, Data Cleaning"
289,Data Analyst,"Reporting, Tableau, Sql, Data Cleaning"
290,Ml Engineer,"Mlops, Tensorflow, Cloud, Python, Keras, Computer Vision"
291,Ml Engineer,"Cloud, Tensorflow, Computer Vision, Pytorch, Keras, Mlops, Python"
292,Data Analyst,"Tableau, Power Bi, Reporting, Excel, Data Cleaning"
293,Software Engineer,"Spring Boot, Rest Apis, Git, Docker, System Design"
294,Software Engineer,"Docker, Agile, Rest Apis, Spring Boot"
295,Software Engineer,"Agile, Rest Apis, Git, System Design, Java, Docker"
296,Data Scientist,"Python, Sql, Statistics, Pandas, Machine Learning, Deep Learning"
297,Software Engineer,"System Design, Git, Java, Spring Boot, Agile"
298,Ml Engineer,"Mlops, Tensorflow, Cloud, Keras"
299,Software Engineer,"System Design, Agile, Docker"
300,Data Analyst,"Excel, Power Bi, Tableau, Sql, Reporting, Data Cleaning"
301,Ml Engineer,"Pytorch, Python, Computer Vision"
302,Data Analyst,"Data Cleaning, Reporting, Tableau, Power Bi, Excel"
303,Data Scientist,"Nlp, Pandas, Python, Deep Learning, Sql, Statistics"
304,Ml Engineer,"Keras, Mlops, Pytorch"
305,Product Manager,"Scrum, Stakeholder Management, User Stories, Product Roadmap"
306,Software Engineer,"Docker, Rest Apis, Git, Spring Boot"
307,Data Scientist,"Nlp, Sql, Python, Pandas"
308,Data Scientist,"Sql, Nlp, Pandas, Deep Learning, Python"
309,Product Manager,"Scrum, Stakeholder Management, Product Roadmap, Agile"
310,Ml Engineer,"Python, Pytorch, Keras, Mlops, Tensorflow"
311,Ml Engineer,"Cloud, Mlops, Pytorch, Python, Tensorflow, Computer Vision"
312,Data Scientist,"Deep Learning, Sql, Python, Statistics, Machine Learning, Pandas"
313,Software Engineer,"Rest Apis, Git, System Design, Docker, Java, Spring Boot"
314,Data Scientist,"Machine Learning, Python, Pandas, Sql, Nlp, Statistics"
315,Data Analyst,"Reporting, Data Cleaning, Excel, Sql, Tableau, Power Bi"
316,Product Manager,"User Stories, Product Roadmap, Stakeholder Management, Scrum"
317,Data Scientist,"Statistics, Deep Learning, Pandas, Sql, Nlp, Python, Machine Learning"
318,Data Scientist,"Machine Learning, Deep Learning, Pandas, Statistics, Nlp, Sql, Python"
319,Software Engineer,"Docker, Rest Apis, Agile"
320,Ml Engineer,"Cloud, Mlops, Tensorflow, Pytorch, Keras, Python"
321,Product Manager,"Agile, Scrum, User Stories"
322,Software Engineer,"Spring Boot, Rest Apis, Git"
323,Data Scientist,"Python, Nlp, Pandas"
324,Data Analyst,"Tableau, Sql, Excel, Reporting, Power Bi"
325,Data Analyst,"Power Bi, Tableau, Reporting, Data Cleaning"
326,Ml Engineer,"Keras, Mlops, Computer Vision"
327,Data Scientist,"Machine Learning, Statistics, Python, Nlp"
328,Data Scientist,"Sql, Deep Learning, Machine Learning, Python, Statistics"
329,Data Scientist,"Nlp, Deep Learning, Statistics, Machine Learning"
330,Software Engineer,"Rest Apis, Spring Boot, Docker, Git, Java, System Design"
331,Ml Engineer,"Cloud, Python, Mlops, Keras"
332,Ml Engineer,"Cloud, Pytorch, Python, Computer Vision, Mlops"
333,Data Scientist,"Deep Learning, Statistics, Pandas"
334,Data Scientist,"Sql, Nlp, Statistics, Pandas, Python"
335,Ml Engineer,"Pytorch, Tensorflow, Computer Vision, Keras, Python, Cloud"
336,Product Manager,"Agile, Product Roadmap, Scrum"
337,Data Analyst,"Excel, Data Cleaning, Power Bi, Sql, Reporting"
338,Data Scientist,"Sql, Nlp, Deep Learning, Statistics, Machine Learning, Python, Pandas"
339,Data Analyst,"Excel, Power Bi, Tableau"
340,Ml Engineer,"Computer Vision, Keras, Cloud, Pytorch, Python, Tensorflow"
341,Data Analyst,"Power Bi, Data Cleaning, Reporting, Tableau, Excel"
342,Software Engineer,"Agile, System Design, Rest Apis"
343,Data Scientist,"Pandas, Deep Learning, Nlp, Sql, Statistics, Python, Machine Learning"
344,Software Engineer,"Git, Spring Boot, Java, Agile, Rest Apis, Docker"
345,Software Engineer,"Spring Boot, Java, Rest Apis, Git, Docker, System Design, Agile"
346,Software Engineer,"Agile, Java, Git, Docker, Rest Apis, System Design"
347,Data Analyst,"Data Cleaning, Sql, Power Bi, Tableau, Excel"
348,Data Analyst,"Data Cleaning, Reporting, Power Bi, Tableau"
349,Software Engineer,"Docker, Rest Apis, Agile, Spring Boot, System Design, Git"
350,Ml Engineer,"Keras, Computer Vision, Pytorch, Python, Cloud, Tensorflow, Mlops"
351,Data Analyst,"Tableau, Data Cleaning, Reporting, Power Bi, Excel, Sql"
352,Product Manager,"Product Roadmap, Scrum, Stakeholder Management, Agile, User Stories"
353,Data Analyst,"Excel, Tableau, Power Bi, Data Cleaning, Reporting"
354,Data Scientist,"Python, Statistics, Machine Learning, Sql, Nlp, Pandas, Deep Learning"
355,Data Analyst,"Reporting, Data Cleaning, Sql, Tableau, Power Bi"
356,Data Analyst,"Data Cleaning, Reporting, Excel, Tableau, Power Bi"
357,Product Manager,"Stakeholder Management, Scrum, Agile, User Stories"
358,Software Engineer,"Docker, Agile, Spring Boot, Java, Rest Apis, Git"
359,Product Manager,"Product Roadmap, Scrum, Stakeholder Management"
360,Data Analyst,"Power Bi, Sql, Tableau, Reporting"
361,Ml Engineer,"Mlops, Tensorflow, Pytorch, Cloud"
362,Data Scientist,"Sql, Statistics, Nlp"
363,Data Analyst,"Tableau, Data Cleaning, Power Bi, Reporting"
364,Data Analyst,"Excel, Power Bi, Sql, Data Cleaning, Tableau, Reporting"
365,Software Engineer,"Agile, Spring Boot, Rest Apis, Docker"
366,Software Engineer,"Docker, System Design, Git, Rest Apis, Java, Spring Boot"
367,Data Scientist,"Statistics, Deep Learning, Sql, Machine Learning, Pandas, Python"
368,Ml Engineer,"Computer Vision, Tensorflow, Mlops, Keras, Pytorch, Python, Cloud"
369,Software Engineer,"Java, Spring Boot, System Design"
370,Data Analyst,"Reporting, Excel, Data Cleaning, Tableau"
371,Data Scientist,"Nlp, Deep Learning, Pandas, Python"
372,Ml Engineer,"Python, Keras, Mlops"
373,Ml Engineer,"Mlops, Keras, Cloud"
374,Product Manager,"Stakeholder Management, User Stories, Scrum, Agile"
375,Data Scientist,"Sql, Machine Learning, Deep Learning, Python, Statistics"
376,Data Scientist,"Pandas, Python, Statistics, Nlp, Sql"
377,Data Scientist,"Statistics, Deep Learning, Machine Learning, Pandas, Nlp, Python"
378,Data Scientist,"Sql, Pandas, Deep Learning, Nlp, Python, Machine Learning, Statistics"
379,Data Scientist,"Nlp, Statistics, Pandas"
380,Data Analyst,"Tableau, Power Bi, Data Cleaning, Sql, Excel"
381,Ml Engineer,"Mlops, Tensorflow, Pytorch, Cloud, Python, Computer Vision"
382,Software Engineer,"Docker, Git, Agile, System Design"
383,Data Analyst,"Reporting, Sql, Power Bi, Excel, Data Cleaning, Tableau"
384,Data Scientist,"Python, Pandas, Nlp, Deep Learning, Sql"
385,Data Scientist,"Sql, Python, Statistics, Nlp, Deep Learning, Machine Learning"
386,Software Engineer,"Git, Rest Apis, Java, Agile, Spring Boot, Docker, System Design"
387,Data Analyst,"Power Bi, Excel, Sql, Data Cleaning, Tableau"
388,Data Analyst,"Power Bi, Tableau, Data Cleaning"
389,Ml Engineer,"Pytorch, Computer Vision, Python, Keras, Cloud, Mlops"
390,Ml Engineer,"Mlops, Pytorch, Python"
